"x","y","mmi","mmi_class"
639878.182400363,2161433.7844866,27.12,"Fair"
580366.542811141,1666400.61944327,44.17,"Good"
481021.697622648,1908472.29809546,57.6,"Good"
573538.646152107,1740805.74683999,41.23,"Good"
471370.467956907,2070934.46808832,62.43,"Good"
554537.527924236,1947963.87711259,14.15,"Poor"
456984.185380618,2159067.37117879,29.85,"Fair"
533654.681396095,1921970.50257946,51.52,"Good"
549631.356512015,2185737.01457293,46.22,"Good"
664776.299969853,1666743.46414582,9.1,"Poor"
436066.807938102,1852812.74852829,29.12,"Fair"
636211.02339721,1688334.18061772,0.95,"Poor"
660512.076231087,2108373.82605918,13.63,"Poor"
433232.331223771,1880199.92425114,4.87,"Poor"
802301.559982456,1976980.1346859,46.7,"Good"
850837.55392377,1866178.54390756,56.92,"Good"
940862.781453647,1950757.516688,33.4,"Fair"
848281.569767537,2055054.21409785,19.8,"Poor"
919893.024022354,2025572.82577542,9.13,"Poor"
756134.332084828,1858890.69445915,9.6,"Poor"
813617.31562777,1797007.24414515,34.18,"Fair"
831520.070947277,2120901.23740481,43.05,"Good"
867027.180747165,2031601.38912841,67.47,"Good"
909581.797494752,1846922.80557081,6.87,"Poor"
818726.178547848,2117368.0548828,37.78,"Good"
731900.536872318,1956060.45337253,60.68,"Good"
774856.125779315,2026407.85251927,66.07,"Good"
810829.4059358,1742215.79698289,26.57,"Poor"
782567.020741385,2055389.55145634,58.22,"Good"
758894.553355203,1777794.79415426,12.77,"Poor"
809525.960413073,1902850.1888565,53.18,"Good"
715755.830050149,2050756.43911481,63.38,"Good"
855506.271617529,2050815.75970959,41.5,"Good"
927936.461248153,2002156.70939256,40.85,"Good"
829821.448199578,2117650.38306303,43.68,"Good"
768780.284348236,1925059.69899382,9.98,"Poor"
937229.094886312,1897789.18075572,32.37,"Fair"
816668.860661826,2108974.70146021,22.47,"Poor"
720993.307887124,1915867.06050343,53.27,"Good"
765381.597295743,2003625.37902488,40.4,"Good"
788060.675012575,2057667.82318163,47.55,"Good"
909919.319415183,1954089.12469392,52.65,"Good"
-172453.424603642,1778405.26839553,39.6,"Good"
-256577.984433403,1599001.64329029,50.93,"Good"
49646.2496982696,1685270.75332225,17.3,"Poor"
-207177.91352748,1606789.2983361,15.68,"Poor"
82462.7495118487,1873061.62600878,47.38,"Good"
-127534.469838081,1644035.68246566,54.38,"Good"
-180431.391851768,1678930.47918359,42.23,"Good"
-216587.682071171,1825692.20820653,68.58,"Good"
92484.7672679295,1856832.06570939,41.8,"Good"
-37507.4348516663,1638994.34217819,77.17,"Good"
28081.5838317668,1595350.61730789,69.03,"Good"
-129939.189516951,1725985.20218222,39.92,"Good"
-367783.444757071,1756989.3918317,25.37,"Fair"
-27925.3494049406,1803260.6960041,68.02,"Good"
-429069.093651773,1768109.98678497,18.33,"Poor"
-182832.770818491,1877602.12436937,18.13,"Poor"
-104977.09139787,1831093.70086298,51.23,"Good"
99278.1124665966,1782270.50854137,18.02,"Poor"
-110166.609562212,1589496.24689629,15.35,"Poor"
-181302.418926765,1743261.8351477,28.38,"Fair"
-74669.4370435853,1645686.18145951,76.73,"Good"
-313403.057599979,1564146.66335933,32.83,"Fair"
28226.4825022697,1649607.68115952,28.67,"Fair"
-18535.9498040923,1705369.79481795,61.2,"Good"
-503307.09220598,1675298.48135,28.83,"Fair"
-288862.404078845,1667113.79312415,25.65,"Fair"
-273674.097619395,1860308.61969418,42.35,"Good"
-120605.266926552,1808080.85883695,37.18,"Good"
13672.7448102374,1776682.28204696,25.58,"Poor"
-169226.147048857,1648001.50123231,61.23,"Good"
-318725.734249726,1843298.0097082,16.82,"Poor"
16603.4568625217,1742019.15521659,63.42,"Good"
-177791.662259549,1739241.29566138,38.08,"Good"
-262683.150647154,1568359.8922894,35.38,"Fair"
74198.9019613281,1607511.26296249,42.45,"Good"
-39286.064397581,1720696.47317585,40.75,"Good"
43662.2990466586,1781118.99435739,20.92,"Poor"
-153576.315965173,1626397.93333289,33.7,"Fair"
-349245.363773406,1696261.09511939,21.8,"Fair"
-276898.472510144,1791529.80635823,57.35,"Good"
42110.0351573052,1728246.81822197,72.27,"Good"
-141721.887215082,1729885.630642,48.63,"Good"
-458760.626821372,1666762.60627459,25.43,"Fair"
91033.8626595682,1687270.23931119,62.7,"Good"
1135989.37667082,1759255.82488167,53.22,"Good"
828956.400814767,1600959.32811875,40.25,"Fair"
843758.224876989,1686752.49415176,16.93,"Poor"
969828.594697042,1796332.79579318,44.42,"Fair"
1095838.22873692,1739414.41135997,52.13,"Good"
756134.887918696,1568183.91207216,30.15,"Poor"
1167066.69822844,1725963.24547177,17.13,"Poor"
1104008.32164543,1613946.89404427,37.85,"Fair"
1083503.23180246,1696225.70444258,68.03,"Good"
1071190.93798872,1760434.31026177,27.85,"Poor"
902972.790155857,1560207.46037222,53.2,"Good"
1089714.57393539,1692136.50318077,32.43,"Fair"
912098.266045656,1633374.01630975,48.37,"Good"
794596.648456164,1610032.38202359,22.08,"Poor"
1155888.45250929,1741711.74274248,39.82,"Fair"
910765.424370923,1783090.84705483,46,"Good"
1030596.57718983,1640362.54124772,60.85,"Good"
848232.873231881,1581313.81056615,46.52,"Good"
1093396.48974496,1645537.69340918,38.73,"Fair"
1133460.19763977,1797226.80182205,17.45,"Poor"
895538.962584198,1685466.90180094,43.4,"Fair"
603417.180915722,1525249.70307617,3.6,"Poor"
900251.534868907,1591941.91823852,41.47,"Fair"
839824.820253021,1606052.6458147,38.48,"Fair"
